1400 2.94522254e-03 1.92277943e-03
1.51650365e-02 3.63111389e+01 2.95659027e-04 4.79441585e+01
1.53407656e-02 3.63111285e+01 3.01400397e-04 4.77405992e+01
1.55185310e-02 3.63111181e+01 3.07267986e-04 4.75367520e+01
1.56983563e-02 3.63111074e+01 3.13250799e-04 4.73343576e+01
1.58802654e-02 3.63110965e+01 3.19351956e-04 4.71327255e+01
1.60642824e-02 3.63110853e+01 3.25573831e-04 4.69304548e+01
1.62504317e-02 3.63110739e+01 3.31912956e-04 4.67289722e+01
1.64387381e-02 3.63110624e+01 3.38344952e-04 4.65288732e+01
1.66292266e-02 3.63110505e+01 3.44901128e-04 4.63283845e+01
1.68219224e-02 3.63110385e+01 3.51610336e-04 4.61280623e+01
1.70168511e-02 3.63110262e+01 3.58396598e-04 4.59292878e+01
1.72140386e-02 3.63110136e+01 3.65357013e-04 4.57305115e+01
1.74135111e-02 3.63110011e+01 3.72446139e-04 4.55315541e+01
1.76152950e-02 3.63109880e+01 3.79661535e-04 4.53341007e+01
1.78194172e-02 3.63109748e+01 3.87011361e-04 4.51369004e+01
1.80259046e-02 3.63109612e+01 3.94489607e-04 4.49394132e+01
1.82347848e-02 3.63109475e+01 4.02114996e-04 4.47433724e+01
1.84460855e-02 3.63109334e+01 4.09889338e-04 4.45476257e+01
1.86598347e-02 3.63109192e+01 4.17816670e-04 4.43516413e+01
1.88760607e-02 3.63109045e+01 4.25874650e-04 4.41571119e+01
1.90947923e-02 3.63108897e+01 4.34101427e-04 4.39627116e+01
1.93160586e-02 3.63108746e+01 4.42454926e-04 4.37682952e+01
1.95398888e-02 3.63108591e+01 4.50999098e-04 4.35753260e+01
1.97663127e-02 3.63108434e+01 4.59657929e-04 4.33821747e+01
1.99953603e-02 3.63108273e+01 4.68531108e-04 4.31894607e+01
2.02270622e-02 3.63108110e+01 4.77555269e-04 4.29979680e+01
2.04614489e-02 3.63107943e+01 4.86722898e-04 4.28060633e+01
2.06985516e-02 3.63107773e+01 4.96100109e-04 4.26152175e+01
2.09384019e-02 3.63107600e+01 5.05628914e-04 4.24249451e+01
2.11810315e-02 3.63107424e+01 5.15314936e-04 4.22345340e+01
2.14264726e-02 3.63107244e+01 5.25235270e-04 4.20454937e+01
2.16747578e-02 3.63107061e+01 5.35296558e-04 4.18562375e+01
2.19259201e-02 3.63106874e+01 5.45550731e-04 4.16677670e+01
2.21799928e-02 3.63106683e+01 5.55999988e-04 4.14800181e+01
2.24370097e-02 3.63106489e+01 5.66645977e-04 4.12921523e+01
2.26970048e-02 3.63106292e+01 5.77512561e-04 4.11055903e+01
2.29600126e-02 3.63106091e+01 5.88551592e-04 4.09187745e+01
2.32260682e-02 3.63105885e+01 5.99830830e-04 4.07329945e+01
2.34952067e-02 3.63105676e+01 6.11258958e-04 4.05475002e+01
2.37674640e-02 3.63105462e+01 6.22990586e-04 4.03624003e+01
2.40428761e-02 3.63105245e+01 6.34882367e-04 4.01781901e+01
2.43214797e-02 3.63105024e+01 6.46990546e-04 3.99939048e+01
2.46033116e-02 3.63104798e+01 6.59327938e-04 3.98108098e+01
2.48884093e-02 3.63104567e+01 6.71936772e-04 3.96275079e+01
2.51768107e-02 3.63104333e+01 6.84745387e-04 3.94453952e+01
2.54685540e-02 3.63104094e+01 6.97778525e-04 3.92631718e+01
